,144,1148,2099,2087,784,345,1895,1776,2055,1719,1118,1225
144,0,1402,2294,20284,954,2874,3530,2040,2346,20053,1923,1729
1148,1402,0,1832,21233,449,2176,2832,967,1104,21001,703,2721
2099,2308,1895,0,21297,1959,918,1574,1226,2644,21065,2477,2785
2087,20044,21162,21319,0,20713,21900,22556,21540,22105,578,21682,19689
784,954,449,2020,20785,0,2550,3206,1341,1392,20553,969,2273
345,2912,2196,604,21901,2570,0,917,1201,2618,21670,2668,3390
1895,3374,2658,1066,22364,3032,462,0,1663,3080,22132,3130,3852
1776,2090,995,1073,21641,1370,1209,1865,0,1418,21409,1467,3129
2055,2346,1104,2491,22177,1392,2627,3283,1418,0,21945,592,3665
1719,19812,20930,21088,578,20481,21668,22324,21308,21873,0,21450,19458
1118,1923,772,2540,21754,969,2676,3332,1467,592,21522,0,3242
1225,1713,2930,3087,19986,2481,3668,4324,3308,3873,19754,3450,0
