,1737,1859,486,2061,320,957,2071,931,233,2069
1737,0,7513,5956,884,20461,1301,3612,1159,12068,4113
1859,7468,0,1557,7846,24433,7836,7742,8121,16198,8733
486,5911,1557,0,6289,22875,6279,7280,6564,15736,9518
2061,902,7824,6266,0,20771,2172,3309,738,11765,3259
320,20331,25540,23982,20709,0,20112,23437,20984,31893,23938
957,1118,7406,5848,1942,20117,0,4670,2216,13126,5170
2071,3599,7814,7243,3228,23470,4869,0,2635,8640,977
931,1118,8041,6483,708,20989,2388,2630,0,11086,3620
233,12072,16288,15716,11701,31943,13342,8701,11108,0,7868
2069,4136,8832,9500,3238,24005,5405,988,3653,7868,0
