locationID,locationName,openTime,closeTime,minPrice,maxPrice
282,Cù Lao Xanh Homestay,7.0,23.0,350,600
345,FLC City Hotel Beach Quy Nhon,0.0,23.98,1600,2100
418,Khách Sạn Thăng Long,0.0,23.98,250,450
474,BoBo Station,8.0,22.0,20,55
1027,Bún Bò Gân,6.0,21.5,30,60
1296,Quán Nhậu 96,6.0,22.0,200,400
1351,Quán Thanh Trúc,6.0,22.0,50,150
1627,Nhà hàng Trầu Cau,6.0,22.0,200,500
1746,Nhà hàng Tre Xanh,12.0,22.0,500,800
1873,Quán Cháo Lòng Bảy Được,5.5,11.0,20,80
2048,Chè Nhớ,6.0,22.0,15,40
2059,Bia Kỷ niệm tập kết Quy Nhơn,9.0,17.0,0,0
2074,Tổ Hợp Không Gian Khoa Học,9.0,17.0,0,0
2102,Bãi đá Thảo Nguyên,0.0,23.98,0,0
2119,Bảo tàng Quang Trung,7.0,17.0,30,50
