,1027,1296,1873,418,2048,2059,1351,345,2074,282,2119,1746,2102,474,1627
1027,0,2402,6089,5898,3025,1327,14645,2380,9701,3419,44116,1973,33801,2878,937
1296,2421,0,6685,3696,572,3127,15242,759,7499,1217,44713,428,31599,548,1905
1873,6102,6743,0,4968,6924,7256,8556,7059,11866,7318,38810,6407,40251,7301,5654
418,6117,3854,4542,0,3322,6813,11578,3941,7568,2300,41832,4282,31668,3418,5117
2048,3087,572,6867,3165,0,3491,14743,785,6968,685,44894,965,31067,376,2086
2059,1399,3196,7242,6662,3497,0,15799,2975,9363,4183,45270,3058,33462,3473,2090
1351,14629,15251,8528,12066,14719,15783,0,15338,18965,13696,39865,14935,31694,14814,14182
345,2399,686,6976,3843,678,2966,15532,0,6649,1364,45003,824,30748,654,1999
2074,9785,7522,11847,7305,6990,9419,18883,6453,0,7036,49137,7950,24965,6701,8785
282,3480,1217,7261,2081,685,4176,13659,1471,7013,0,43912,1645,31113,1062,2480
2119,44653,45295,39117,42656,45476,45807,40259,45611,49555,44286,0,44959,599546,45852,44206
1746,1992,428,6380,4125,965,2989,14937,915,7927,1645,44408,0,32027,941,1404
2102,33885,31622,40222,31405,31090,33519,31694,30553,24965,31136,601657,32050,0,30801,32884
474,2900,548,7243,3260,376,3466,14838,761,6680,1062,45270,941,30779,0,2462
1627,937,1893,5591,4948,2074,2090,14147,2209,8750,2468,43618,1557,32850,2451,0
